,review title,job title,job location,date,description,pros,cons
303,Great Company - lots to learn - many opportunities for career advancement,General Worker,"Rustenburg, North West",22-Dec-16,Great company and place to work - the only negative being far away from friends and family.No two days are ever the same! Health and safety are top priority - Iron ore mining is a tough buiness.,Great company with benefits,la poca expectativa de carrera laboral.
304,Productive,Risk Practitioner,"Potgietersrus, LP",18-Dec-16,Start at 5h30 in morning  with meeting with supervisors for the days jobs and breakdowns .Attend Meeting with Manager at 7h00 for feedback and at 8h30 Underground.The hardest part of job is when people do not do the job as planned.The enjoyable part of job it not every is the same different challenges daily,good incentive,"los dos meses fueron poco, me gustaría haber seguido aprendiendo"
305,Anglo American is very diversified workplace.,Executive PA,Corporate Head Office Gauteng,14-Dec-16,"This is a one big family with a culture than can only be matched by a few. Care and respect are our core values. We have learned that as a team we depend on each other to achieve our objective - mining platinum safely and going back to our loved ones in one piece. Our management have an open door policy and we don't see them as managers but team leaders who we can interact with at any given time. Visible felt leadership is what brings them closer to their subrdinates. The co-workers are fantastic. We always make time to celebrate whatever achievement together. In terms of the hardest part of the job, seeing someone getting hurt and having to inform his/her loved ones is a nightmare. One the flip side, having a nice braai with the team after any safety achievement is the most enjoyable part of my job.",R150 christmans voucher,falta um plano de cargos e salarios ou uma clareza nas promoções
306,A good introduction to the mining environment,Mineralogist,"Crown Mines, Gauteng",13-Dec-16,A great balance of theoretical and practical application of skills learned at university.  Mentorship and solid graduate development programs in place as well as hands on experience of all the aspects of the technical services and mining services provided by the company.,Safety principles a priority,long working hours
307,Good Culture,Diesel Mechanic,"Thabazimbi, Limpopo",12-Dec-16,The culture makes the company! You will learn alot as it is a very diverse company who tries to cater for everyones needs. Great benefits compared to private sector. The hardest part of my job is the travelling distances especially if you prefer the city., ,não remunera os plantões dos engenheiros.
308,Productive and fun work place,Artisan Assistant(Boilermaker),Limpopo(Amandelbult complex),10-Dec-16,I'm a hard working person with team spirit .communication is my management skill.I enjoy working with different kind of people. And I handle conflict well,Lunch time, 
309,Productive and fun working environment,Personal Assistant,Johannesburg,05-Dec-16,Systems are well developed. Implementation is a bit of a challenge. Decision-making that is decisive is necessary. Good team work amongst colleagues., ,Somente não poder cumprir 8 horas diárias devido ser estagiário.
310,Empresa com bons valores e ótimos profissionais,Supervisor/Team Leader,Goias - Brazil,02-Dec-16,Empresa com ótimas equipes que trabalham em sintonia. Ambiente propício para aprendizado., ,practicamente no hubieron muchas contras en mi etapa de trabajo.
311,productive,Mine Overseer,Union Mine Swartklip Limpopo,26-Nov-16,I ve leant to work as team and i was self motiveted.i ve gained positive confident as i work with different people.i gained and improved my communication skills., , 
312,buen ambiente laboral,FITTER,"Rustenburg, NW",25-Nov-16,una buena empresa en cultura laboral y estandares de seguridad,hay sala de descanso,"gerencia não pensar, no grupo como um todo, somente no seu próprio resultado"
313,My Experience,Safety Administrator,khomanani mines,24-Nov-16,"Work Starts early (7am for us), target are presented as clearly as possible. team effort to attain targets and teams are rewarded for not only achieving a target but also how much a target has been achieved.",Great renunaration,Not achieving set targets
314,En una buena empresa q te enseña muchos valores en seguridad,Desktop Support Administrator,Harare,23-Nov-16,"Es una empresa agradable de trabajar,,y segura.Es  el clim laboral es bueno y se destaca en el companerismo y la buena practica en seguridad.", ,Lack of tooling.
315,Working in Multinational exploration company,Geologist,India,05-Aug-17,"Enjoyed while working in Multinational exploration company with overseas exploration expert. Learnt necessary software, exploration technique, behavior to work with foreigners.",work on scheduling,Multitasking
316,realizar avaliação para classificação profissional e não pessoal,Process Cotroller,"Conceição do Mato Dentro, MG",09-Mar-14,Nessecita de uma melhor política de avaliação para plano de carreira !,oportunidade na época de emprego,corte de benefícios
317,World class global mining and exploration company.,Process Operator,"Toronto, ON",18-Jul-13,"World class global mining (key markets: diamonds, platinum, copper) and  exploration company with marketing channels around the world. High performance, professional approach to all aspects of the mining pipeline.", , 
318,Es muy grato el trabajar en esa compañía muy bien ambiente,Assay Laboratory Processor,Minera los bronces región metropolitana,"April 3, 2013","Es una compañía muy buena preocupados siempre por la salud y cualquier problema que le ocurra a algún trabajador,una compañía preocupada por el medio ambiente y la vida familiar","Tiene muy buen seguro médico, para el descanso en el campamento es muy bueno ya que se puede descansar con mucha tranquilidad",El mantener las pistas las cuales circulan los camiones de extracción en mejor estado
319,Fun good working place,Diesel Mechanic Learner,"Pretoria, Gauteng",29-Oct-12,"Good communication skill from the management, loyal co-workers. the hardest part was that there was no enough time for family. Never the last i enjoyed my days at Volpes",Big discounts for staff,one day off per week
320,es un muy buena escuela laboral dado que su principal pilar es la seguridad de las personas,Data analyst,"Antofagasta, Antofagasta",11-May-12,bueno los turnos son de 12 horas de trabajo  un turno dia de 08 a 20 y el de noche de 20 a 08 con paradas programadas para las colaciones y descanso . Lo que hace a mantos blancos distinto es que es un faena grata y familiar un muy buen ambiente laboralLo que soy como persona despues de 31 años de trabajo lo aprendi alli valores principios a cuidarme y cuidar a los demasLa direccion gerencial  es muy cercana al trabajador muchas reuniones informativas actividades concursos de seguridad etcPor lo general es un equipo de trabajo todos a una muy pocas diuferenciasCuando algun colega se accidentaba y como equipo teniamos que juntos salir adelante de este evento muchas veces triste para todosHaber conocido tantos amigo y compañeros de trabajo y juntos habernos desarrollado como personas no sabiendo mucho y llegar a ser unos verdaderos profesionales en nuestros puestos de trabajo.,muy buen ambiente laboral,se estaba agotando las reservas de mineral
321,Empresa dinâmica e agradável de trabalha,Colliery VOHE Officer,"Ouvidor, GO",12-Mar-15,E uma empresa que valoriza sempre seu funcionário e que esta sempre abrindo novas porta para o crescimento de seus funcionarios., , 
322,its good am enjoing working with employee down there,Operador de Processo B,"Thabazimbi, Limpopo","April 27, 2015",the hardest part of job (is to deal with organize labour and to change the mind set on daily basis )management (i have good work relationship with my seniors trustworth about my delivering.)the most enjoyable part of the job (executing safely profetable platinum daily.), , 
323,"Buena empresa, grato ambiente laboral y desarrollo profesional",Metallurgist,"Santiago de Chile, Región Metropolitana",01-Feb-14,"Trabajé en turno 4 x 4 (día, noche), siendo parte del grupo 5. Conformé el equipo de mantención especialista en la mantención de cargadores frontales y palas hidraulicas.Cada turno nos correspondía realizar la mantención programada de un equipo, en otras ocasiones nos correspondió atender el llamado de una falla en terreno.Lo más complicado del trabajo, fue siempre laborar durante el periodo invernal en condiciones climáticas adversas.Lo que más me gustó es que la empresa potenció la especialidad de  cada trabajador, en mi caso, correspondió a los conocimientos en la mantención de los cargadores frontales y palas hidráulicas.","Seguro médico, ayuda escolar, bonos, incentivos", 
324,Productive,Various Temp Assignments,"Kriel, Mpumalanga",16-Oct-15,"I have learned a lot at the mine, not enough employees to do the work, not always working according to procedures and management doesn't care as long as the job gets done",None,Not enough employees
325,productive,Supervisor de Produção,amandelbt,30-Jul-13,"Working in this company  was very nice,but the Hr department they don't do their work correctly. Because I was deserted while I was on sick leave.",free energy drink,8 hour
326,My work experience,Estagiária na Área de Planejamento de Manutenção,"Swartklip, Limpopo",06-Jul-15,Comfortable work environmentAlways productiveCo-Workers keen to give help where neededCan meet more agreements with salaries etc.Be fair and honest, , 
327,Productiveness and willingness to achieve its goals,Drill Rig Operator,Limpopo province,23-May-14,Its a good company  that i develop every skill and knowlegde that i have and taught me through hard work you can always achieve your goals no matter the circumstances and also how to be patient to your fellow worker.Its a good company indeed.,No lunch,Normal hours
328,Buen ambiente de trabajo,Engenheira de Minas Plena,Valparaíso,25-Jan-17,"Es una buena empresa para trabajar, hay oportunidades de desarrollo, pero la empresa esta condicionada a la situación del mercado del cobre", , 
329,To utilize my effort to these company.,Internal sales co-ordinatior,"Pretoria, Gauteng",19-Jun-15,"I will be part of team, I will put my effort to these company. I know these is the gold company security is tidy. I am hardworking person I need to be wise and be careful to my job I have to be patient. I have to understand each other in working industry.",Free lunch,45 hours
330,tranquilidad y disposición,Machine Operator,"Santiago de Chile, Región Metropolitana",27-Jan-14,es una empresa que apoya a los trabajadores y sus ideas. es una empresa que da tranquilidad y estabilidad laboral.Que trata bien a sus trabajadores y colaboradores.Buenos planes de retiro.Busca alternativas de desarrollo.,buen seguro médico, 
331,Vast learning experience,Logistic specialist,"Limpopo, Mokopane",17-Mar-16,Has new challengesGive out safe productionIntegrityTeam-playersI want everything to be perfectInfluencing co-workers positively,Development,None
332,Normal workday as Supervisor at the plant.,HRD Officer (Engineering Assessor),Swartklip Limpopo South Africa,24-Nov-14,"Start our day with Prayer with the Engineering team and have Toolbox talk.Artisans go and do walk about in their sections and reprt back to me as their Foreman,Operations Foreman gave me feedback on any maintenance to be done,we plan the jobs for the day with my team,Sit in at production meetings and after the meetingI do over inspections on the team during the day,the team report back to me in the afternoon to give me feedback on the jobs done and so do I report to my Engineer ang gave him my feedback,you feel proud on your team when they do uotstanding work and you feel proud to praise them and that they work safe at all times.", , 
333,Productive and great teamwork,Consultant,South Africa,05-May-16,Great company ano benefits experienced a different type of workplace culture and friendly people. Great training facilities  and prepared to extend training if needed. Great management communication and approachability.,Great people and workplace,Angloamerican selling coal commodities
334,Productive work Place,WATER CHEMIST,"Johannesburg, Gauteng",18-Feb-15,"A typical day at work is when one of the co-workers comes to work with her own stress and took it out on us.I have learned the Anglo values  on how to work with difficult employees and how to resolve their issues, Management of the company is a great one because of the team buildings they book for us, I work greatly with my co-workers I have received their help and I have done the same with them. The hardest part of the job is when the employee says they have send their documents to  be processed on to find out they have not done that and when they requires something that they know they do not qualify it. The most enjoyable part is when we get together in the mornings to do our morning greetings before we start with our daily work.",Free Lunches,Standars working hours
335,An international mining house,Diesel mechanic,Johannesburg,30-Nov-12,"An interesting mix of commodities & precious metals. In recent years forced to align with modern practices to ensure survival and growth.A world leader in specific mining capabilities, specifically deep mining and marine mining.Good management practices with staff development as a important activity.", , 
336,Working in Multinational exploration company,Geologist,India,05-Aug-17,"Enjoyed while working in Multinational exploration company with overseas exploration expert. Learnt necessary software, exploration technique, behavior to work with foreigners.",work on scheduling,Multitasking
337,en general,Processor,"Antofagasta, Antofagasta",18-Oct-16,"muy buena compañía en general buen ambiente laboral, buena dispocicion de la administración.", ,sistema de turno
338,Productive place,Operador Maquinaria Pesada,"Polokwane, Limpopo",18-Oct-16,"a typical day would be to get there and check what different managers wanted to purchase , then orders would be place to the respective companies , i learned how to work with the system they use to record information about salaries , the budget of the company and the actual numbers and with those figures predict how much money will be needed for the next year, i had about four co-workers and they were all mentoring me in their respective fields, which are purchasing, logistics, paychecks and recording of day to day expenses",Ability to learn every day and support from the colleagues, 
339,"Fun workplace, restaurant and transport officials.",Supervisor de PCM,Goias - Brazil,17-Oct-16,The mainly thing that I learned was how to lead diferent people. It was a good experience to talk and met every week with all levels hierarchies of leaders.The hardest part of the job was do a management of the team with a lot of particular problems and the same time get good results to achieve the objetives that agreeded.,Free lunch indeed, 
340,Empresa dinâmica e agradável de trabalhar,Experiential Trainee - Geology,"Macapá, AP",14-Oct-16,É uma empresa que te dá oportunidade de crescer profissionalmente.,holiday gifts and incentives, 
341,It was great to work for Anglo.,Senior Supply Assistant,Free State,14-Oct-16,"Unfortunately i worked for Anglo American during the difficult times of colour discrimination, though i enjoyed excellent treatment by my supervisor, i would have loved to have had more chances working myself up the ladder in the work place, but such opportunites always fell short of me, there were always industrial upheavals with the Unions and many strikes and many political issues which together with poor world markets eventually ran the company down. But i really had few opportunities to develop there.",incentive bonusses,none
342,Boa empresa,Gestao de capital humano,"Rio de Janeiro, RJ e Belo Horizonte",13-Oct-16,Bom ambiente.Ótimos benefícios.Boa política de remuneração.,"free lunch, medical benefits", 
343,Productive and Safe work place,Mantenedor Mecanico Planta,"Rustenburg, North West",13-Oct-16,Work Safe every day to make sure the company reach Free injury or fatality shifts through out the year. Prodution target need to be reached every day!,free lunch, 
344,Ambiente de trabajo.,Chemical Plant Technologist,"Santiago de Chile, Región Metropolitana",12-Oct-16,Grato ambiente de trabajo. No existe distinción entre gerentes y empleados.,os benefícios indiretos,Cuesta ingresar a la.empresa sin un buen titulo
345,Fulfilling job and functions,Learner Official,Limpopo,09-Oct-16,Responsible for directing and coordinating activities of Human Resources Management activities and all the applicable employee relations practices within the company operation.,"buen ambiente laboral, oportunidades de crecimiento.",Odd hours dictated by the job demand
346,"Productive,enjoyable and more career development",Maestro Mayor mecanico Fusion Flash,"Rustenburg, North West",09-Oct-16,I enjoyed working training and working at Anglo american...I started my learnership with Anglo American under OSD and joined Bathopele mine after I got my trade certificate..unfortunately because of other mines(Anglo American mines) got shut I was never appointed as an artisan..that is the reason why I'm job seeking,Caring for the staff, 
347,Ambiente agradable para trabajar. Flexibilidad en horarios,Maintenance Technician,"Ciudad de México, D. F.",07-Oct-16,En esta empresa puedes aprender mucho ya que puedes impartir clases a diversos grupos con niveles distintos.,"Seguro médico, ayuda escolar, bonos, incentivos",Trabajo poco estable
348,One of the best Projects,Project Assistant / PA,Witbank,07-Oct-16,"Great team, great SAP HCM  project. Used my skills and gained more skills in Time Management and Reporting. Had the opportunity to Team Lead changes in Policy for Skilled and Non Skilled employees. Co-workers in relation to Labour Unions at first a challenge but formed a good working relationship. The Management Team were very supportive.",Clean,Traveled and stayed away from home every week.
349,Great job as it fulfilled my area of expertise,Jefe y/o Coordinador despacho Mina,"Pretoria, Gauteng",07-Oct-16,Worked with a great team both in South Africa and the support technical team in India. I had the opportunity to implement areas of Time Management to meet the Human Resource Policies for mining employees. Completed and team led all the testing prior to implementation. The implementation deadlines were in some instances difficult to meet based on the technical team based in India and a language challenges sometimes occurred. These were overcome and a very good relationship was formed. It was a temporary position only based on the AAC restructure of Kumba.,Ability to learn every day and support from the colleagues,SA to India time delays
350,Excelentes benefícios e um ambiente harmonioso para trabalhar,acting she administrator,"Belo Horizonte, MG",06-Oct-16,"Uma empresa agradável, bons relacionamentos interpessoais, trabalho sob muita pressão, mas compensador pois o reconhecimento realmente chega.","work in for christmas, great safety culture",Pouca promoção
351,very productive and challenging,Executive PA,"Gauteng, Limpopo",05-Oct-16,"Most enjoyable part of the job is being able to reach production and saftey deadlines.Having to work with many different people, all striving for to achieve the goals and strategy of the company as a whole.",Free lunches in staff restaurant,challenging work
352,I need a job,Analista de Gestão de Contratos Pleno,"Rustenburg, North West",04-Oct-16,I was woking at the contract under Anglo I get a retrenchment that why I'm trying to a play is the good company we work see we dilivar our promisNo sefe no production,Celebration of major achievements, 
353,\gfsfgfdgfzdgfgf,Assistant Company Secretary,"Macapá, AP",01-Oct-16,empresa na qual pude ter os melhores momentos de desafios particulares, , 
354,Productive and save working place,acting commmunications officer,"Lydenburg, Mpumalanga",28-Sep-16,I learned sampling and evaluation course. The management was strict about productionAll people liked one another. The hardest time is when I done double job due to shortage ofstaff.,free freezer suit,8 and 13 hour shifts
355,Learning and development,essential services electrician,"Witbank, Mpumalanga",26-Sep-16,"a typical day is when you run out of staff,where you need to feel all the gaps,what you will know is that you need to take it slow inspired of too much pressures from the management.The most enjoyable part is when you Flo on what you are doing knowing all the people you are working with.",Convenio medico, 
356,Productive and challenging environment,Risk Co-ordinator,"Johannesburg, Gauteng",21-Sep-16,"Every day presented new challenges. You learn a lot from your team members as you work together to resolve issues and find different and better ways to do things. Management reporting is very interesting, fun and challenging since the Management teams are always focussing on diffent issues which meant we had to come up with innovative ways of presenting the information to keep up with their demands.I learned a lot about presenting information to management. The co-workers were supportive, helpfull and also always open for suggestions.The toughes part for me was keeping up with the ever expanding demand of management for information.The most enjoyable part was keeping up with the ever expanding demand of management for information because it forced you to keep an open mind and stopped you from taking things for granted", ,long hours
357,Working in Multinational exploration company,Geologist,India,05-Aug-17,"Enjoyed while working in Multinational exploration company with overseas exploration expert. Learnt necessary software, exploration technique, behavior to work with foreigners.",work on scheduling,Multitasking
358,fun work place with social programmes,Estagiário de engenharia de Processos,Rustenburg South Africa,09-May-14,Hard working and a team player plus willing to work extra hours in order to enhance production and adhere to sefety procedures before commencement of any work., ,long hours
359,Great company with great benefits.,Site IM Coordinator,"Johannesburg, South Africa",10-May-13,Great company with great benefits.  Management appreciate the views of all employees.  Communication between management and staff are very good.  Offer employees the opportunity to grow by offering internal and external training.,"Free lunch, 13th cheque","Healthcare not up to standard, comparing to other companies."
360,Relación de respeto mutuo y de aprendizaje permanente,Especialista Equipos Menores de Superficie.,"Moquegua, Moquegua",09-Mar-15,"Excelente empresa con estándares sociales, ambientales y laborales muy altos, muy identificados con los colaboradores y con una  práctica permanente de sus valores como empresa y conscientes de su responsabilidad hacia la comunidad y población aledaña.", , 
361,Great company with brilliant history and culture,Administrativo bodega,"Rustenburg, North West",12-Aug-14,Anglo American is one of the greatest companies in any industry for anyone to work in. Not taking into account how the company took me from high school through exposure year to varsity at no cost at all and to offer the excellent work environment is amazing.,"Big company, great job security, many commodities, great give back to the community. Good benefits","Limited opportunities due to company profile, platinum price strain"
362,productive and a lot more to learn on daily basics,operador mina rajo,Rustenburg,31-Jan-13,I have been working for this company for years but no development. I have tried so many times but no hopes for me.Just wanna change for new job new company maybe things will change for me for a better future.,future life and mageu provided to workers every day before going underground,Eight hours per shift
363,Boa empresa de se trabalhar,Senior Safety Advisor,"Conceição do Mato Dentro, MG",24-Aug-13,"Desenvolvido atividades no planejamento da frota de infraestrutura, carregamento, escavação e perfuração.Embora seja uma empresa nova no projeto Minério de Ferro Brasil, vem se destacando pela preocupação com segurança e com todos os colaboradores.",Segurança Valor não negociável,Mina de dificil acesso
364,Big company,drill rig operator,"Santiago de Chile, Región Metropolitana",09-Aug-17,"Is a big company and works slowly, is difficult define a career and now  with the commodity prices in crisis is very competitive the job's environments. They have a very good benefit a very good salaries.",Very good benefits,job's environments.
365,Muy buen ambiente laboral,supervisor de manutenção elétrica/instrumentação,"Chañaral, Atacama",09-Mar-17,"La empresa es de nivel internacional, con solidos principios y normas de etica y respeto a las personas.",seguros medicos,jornadas extensas de trabajo en sistemas de turnos 4x3
366,boa empresa pra se trabalhar,Coordenador de Projeto,"Conceição do Mato Dentro, MG",21-Jul-15,"empresa boa se se trabalhar mas tem pontos a melhorar,ótimos funcionários,tem boa alimentação.",funcionarios,cortes de beneficios
367,Fun work place,Risk Practitioner,"Witbank, Mpumalanga",31-May-15,Fun work place i enjoy working for this company  the company provides good benefits and pension fund with flexible shift system, , 
368,"Love to work, it was nice",Trainee Technician,North West Rustenburg,11-Feb-15,It was fun for me to come to work. I loved the co-workers that I worked for. we worked nice together. my part of work was to give material to shafts an make sure that the write material is received at the shafts.To know on the end off the day that the work that I did is right and that the employees at the shafts are happy with the job that I did for them to make sure that they get all their material.,we had lunch,"their were time that we worked overtime, but it was to make sure everything is 100% the next day for delivery, That the paperwork is in place"
369,muy buena empresa,Mine Overseer,"Antofagasta, Antofagasta",11-Nov-14,buena empresa para trabajar y desarrollar la vida laboral hasta el termino de tus años de servicio.,seguridad laboral,falta mejor evaluación de jefaturas
370,boa aprendizagem,aprendiz em mecânica,"São Paulo, SP",30-Nov-12,jovem predizoportunidade de aprender funçõesseguimento em minérios., , 
371,Alto compromiso con la Seguridad y Desafios permanentes.,Rigger Ropesman,"Calera, Valparaíso",11-Jan-16,Alte presion por el logro de los objetivos.Alto compromiso con la Seguridad propia y del personal propio y externo.Alto compromiso con el Medio Ambiente.Planificación que puede ser mejorada facilmente en un 15%.Muchos desafios por desarrollar y cumplir.,"Buen seguro medico, beneficios por bonos y logros",por reforzar la capacitacion de buen nivel.
372,Conocimientos Adquiridos,Personal Assistant,"Colina, Región Metropolitana",07-Oct-16,"Los conocimientos que uno adquiere son bastantes, ya que uno personalmente llega con los conocimientos, pero no como aplicarlos en la realidad, te ayuda a que seas más responsable, ordenado y mejores ciertos comportamientos o actitudes que te pueden perjudicar en tu carrera laboral.", , 
373,"Productive, balanced workplace",Trainee,"Witbank, Mpumalanga",17-Oct-13,Awesome place to work at. Good management staff as well as a people driven workplace.I enjoy it working for this company as it assissts me to progress and develop my career.,Safe encouraging workplace,Long production hours
374,productive and fun place,Gerente de Orçamento e Capex,"Rustenburg, Limpopo",11-Jan-17,"Have experience, Hard work. Enjoying working with people and the computer. Quickly adapt with changes. Work extra hour to be above the required target. job", ,Long Hours
375,Word class company,operador de escavadeira,"Belo Horizonte, MG","April 13, 2017",Word class company whit different commodities and business which share acknowledgements and apply safety policies and standards. High professional staff in all levels, , 
376,Otima empresa para trabalhar,Estagiária,"São Paulo, SP",11-Mar-17,"mesmo trabalhando como pessoa jurídica em minha passagem na empresa, a mesma se mostrou de uma cultura organizacional e respeito a colaborador muito boa.",cultura organizacional,??
377,Workplace,Senior Technician,"Swartklip, Limpopo",10-Oct-17,Never a dull day!always expect the unexpected. ex. breakdowns.Co- workers maked everyday at work fun. we get challenged everyday and find selutions and solve them together.hardest part of my job is to order spares.enjoyable part of my job is new projects and the finishing product.,braais on saturdays,long hours and not seeing the family so much.
378,Working in Multinational exploration company,Geologist,India,05-Aug-17,"Enjoyed while working in Multinational exploration company with overseas exploration expert. Learnt necessary software, exploration technique, behavior to work with foreigners.",work on scheduling,Multitasking
379,Ótima empresa.,Técnico em Mineração,"Goiânia, GO",05-Jul-16,"Ótima empresa, bem estável, salários na média ou acima, participação de resultados muito boa.", ,Muchos cambios que producen una sensación de inestabilidad
380,Anglo american President Steyn mine/Burnstone gold mine/Shanta gold mine (Tanzania),Metallurgical Foreman,South Africa,03-Jul-16,While i was working at anglo i got all the education i needed to make my career to the level where i am today.I have sucsesfully commisioned 2 different gold plants over the last six and a half years giving me a lot of experienece on commisioning., , 
381,It was a challenging and encouraging work environment,COMBAT CRIME UNIT,JOHANNESBURG HEAD OFFICE,02-Jul-16,"If you are employed by a private company and deployed as a contract to another company, your life become miserable because you treated like a slave since you are not permanent to that company.",Yes,localização
382,Very productive workplace,Student - Mine Engineer,Mpumalanga,24-Jun-16,A typical day at work involved clocking in on time and gathering necessary data on production. Working on a project and giving a presentation., ,very long hours (10hrs monday through Friday)
383,Fast pace on demand,EMEA End User Computing Manager,"Johannesburg, Gauteng",20-Jun-16,"The position I occupied at Anglo American, needed attention from a service delivery perspective.I had to ensure deliverables/SLA's are met by the various vendors that provided support to the IT infrastructure. I have learned that communication is key to customer satisfaction and that keeping specialized/critical systems up to date is your best defense against downtime. The culture was not harmonious in the sense that there was alot of conflict between teams. The business is still very much dominated by old unqualified individuals who dominate the workforce. This brought great difficulty for the younger generation to apply up to date knowledge to the IT environment. On the plus side I have had the opportunity of interacting with  different cultures from around the world.Anglo American is a great company to work for if you are a results driven individual.",Benefits,a empresa fica a 40 km da cidade.
384,buen ambiente laboral,Practicante Profesional,Lima,07-Jun-16,dedicado exclusivamente a la evaluacion de zonas de interes para exploracion greenfield mayormente en la zona sur del Peru,Seguro medico privado,se estaba agotando las reservas de mineral
385,"Valores intransables, buen clima laboral, exigente",Especialista producto final,"Chañaral, Atacama",31-May-16,"Es una empresa donde la integridad y el buen trato son valores que no se transan, existe un excelente clima laboral, donde hay mucho trabajo en equipo y colaboración entre los colegas.Existe un sistema de mando horizontal donde puedes tener comunicación directa con la jefatura.Las relaciones interpersonales fueron muy enriquecedoras, como equipo y compañeros, nos apoyamos siempre, tanto en temas laborales como personales.Es una empresa exigente, donde debes aprender muy rápido y ser muy versátil para asumir funciones diversas.Lo mas difícil laboralmente, fue insertarme un rubro desconocido, aprender diversas funciones en muy poco tiempo.Lo mas atractivo de esta experiencia fue entrar a un rubro muy desafiante y exigente. Cada día fue un desafío para mi y a pesar de ello, pude lograr todos los objetivos y compromisos establecidos, lo cual sin duda la hace un experiencia enriquecedora totalmente.","Seguro medico, bono gestion, bono vacaciones.",long hours
386,Buen ambiente,Práctica Profesional,"Santiago de Chile, Región Metropolitana",29-May-16,"Muy buen ambiente de trabajo, ubicado en el centro, recibí mucho apoyo por parte de mi jefe para la realización del trabajo.", ,Nada a declarar
387,Excelente local de trabalho,Analista,"Belo Horizonte, MG",26-May-16,"A Anglo é uma excelente empresa, valoriza e se preocupa com o funcionário. Ótimo ambiente de trabalho e os benefícios oferecidos são bem atraentes além do salário acima da média do que é pago no mercado. Super recomendo.",Muitos benefícios e salário acima da média do que é pago no mercado.,late night standbyes
388,"Buen ambiente de trabajo, oportunidades de desarrollo con  una  cultura de trabajo propia; respeto  de la legalidad y medio ambiente",INGENIERO SENIOR MINA,"Santiago de Chile, Región Metropolitana",26-May-16,"Es  una  empresa multinacional, con desarrollo de  valores y  respeto  por  las  personas  y medio ambiente, cercana  a  Santiago por lo cual todos  los  días  estaba  con mi familia. La  empresa  promueve  el  desarrollo de las personal a través de una evaluación anual  del  desempeño en la  cual  hay retro alimentación  para  mejorar y desarrollar fortalezas; en las  promociones y requerimiento de personal siempre  se  recurre en primera instancia al  personal  propioEl ambiente de trabajo  es  altamente  competitivo y hay buena  comunicación  entre los  colegas.Existe  preocupación por la salud, alimentación y seguridad  en  las  personas, se realiza chequeo medico y  exámenes  anuales  completos para todo el personal propio.","Seguro medico, bonos por desempeño", 
389,"Great company,good exposure.",RISK SPECIALIST,Limpopo,25-May-16,"Anglo american is n great company to work for,where opportunities are a reality. I learned much and would recommend the company to any one who wants toe gain vast experience within his/her field. the management team was helpful and due diligent.",good remuneration,n.a.
390,Fun place to work,Diesel mechanic,"Kathu, Northern Cape",19-May-16,I enjoy working here as everyday comes with its own challenges. I learned to look and treaty every aspect of my duties independently. I also managed to improve my leadership or management style by acting on my supervisors' positions occasionally.,Ability to learn every day and support from the colleagues,non
391,"Saúde, Segurança e Meio Ambiente são VALORES cravados na pele.",Gerente de Saúde e Segurança do Trabalho,"Belo Horizonte, MG",19-May-16,"Excelente ambiente de trabalho. Pessoas em primeiro lugar. Cuidado e Respeito com colaboradores próprios, terceiros e comunidade onde opera.",Desenvolvimento Profissional, 
392,Ok,Metallurgist,"Johannesburg South, Gauteng",11-May-16,"It was a technically advanced environment, although a lot can be done to make it a more pleasant place for everyone. I worked there for 7 years as a metallurgical engineer, and it was generally ok.",free lunch,Trabajo por turnos
393,Empresa agradável.,Estagiária,"Ouvidor, GO",10-May-16,"Como estagiaria na empresa o dia a dia é muito corrido, em relação ao aprendizado está 100% aprovado, pois lá aprendi bastante e de tudo um pouco conforme o tempo. Em relação a gerencia é totalmente competente. Convivio otimo entre os colegas de trabalho. A parte mais dificil do trabalho sem duvidas foi a não contratação e a mais agradavel foi conviver com pessoas do bem e sempre ajudando um ao outro.", ,"las condiciones climáticas, cansancio"
394,Empresa com ótimo ambiente de trabalho e focada em resultados,Analista Contratos Sênior,"Belo Horizonte, MG",06-May-16,"Tive a oportunidade de fazer parte do Projeto Minas-Rio, na construção do maior Mineroduto do mundo ( 523 KM ), atuando na estruturação da área de Gestão de Contratos, dando suporte não somente à Gerência da área ( Planejamento e Controle de Custos/Orçamento ) como também à Gerência de Obras.Através do ótimo relacionamento com as áreas envolvidas ( Engenharia, Jurídico, Controladoria e Suprimentos ), obtivemos ótimos resultados no que se refere à aderência contratual, bem como gestão orçamentária, como parte da conquista, que ocorreu em Outubro/14 através do 1o. embarque de minério de ferro.Uma empresa com ótimo ambiente de trabalho, com extrema preocupação em relação à segurança do trabalho.Trata-se de um projeto grandioso, que apesar das dificuldades encontradas em vários âmbitos ( ambiental, fundiário e financeiro ), devido ao comprometimento envolvido desde a alta Diretoria à equipe de campo, com garra e determinação, as mesmas foram superadas. Me sinto privilegiado por ter feito parte deste projeto, que infelizmente, devido fator externo ( cotação do preço do minério no mercado mundial ) fez com que a empresa adotasse medidas visando redução de custos, que culminou na extinção da área da qual eu fazia parte.","Remuneração (salário) acima do mercado, Participação nos Lucros, Benefícios ( vale-refeição, vale alimentação;, assistência médica e odontológica )", 
