,review title,job title,job location,date,description,pros,cons
108,estresante y sobre cargado de tareas,peon efectivo,artigas,"January 11, 2017",Cansador muchos cambios de horarios durante las semanas.Trabajos agotadores donde en otras fabricas hay 2 personas para esa tarea allí hay una.,estar cerca la empresa,favorecimiento a algunos allegados de los jefes y al resto no
109,A good company to work for,Electrician then Full-time shop Stewart,"Witbank, Mpumalanga","January 3, 2017","Coworkers, especially the older ones I found there, were very friendly and easy to work with. Day started at 06:00 and ended at 15:00. Management firm",Open door policy,Care for employees and surrounding communities
110,Work Placement,Work Placement Student,Bulga NSW,"December 28, 2016","excellent opportunity provided to gain work environment experience.  people were very friendly and approachable and willing to help when needed.  Was close to home, though days were long", , 
111,productive,Metallugical Engineer Intern,"Rustenburg, North West","December 14, 2016","The management system is direct and allows an environment of learning and growth. Rich in culture and areas of expand , processes numerous interaction of different disciplines", , 
112,Productive and fun workplace,Accountant,"Steelpoort, Mpumalanga, Limpopo","December 13, 2016",Positive work environment.  Continously learning. Productive and motivated peers Management is positive and considers the career advancements of employees as a critical activity to be undertaken.,Production bonus,Overtime in excess of 40hrs
113,Easy going place with great people,Client Relations Administrator - Harvest Casual,"186 Greenhill Rd, Parkside SA 5063","November 30, 2016","Workplace is great, the environment is always friendly. Workload is always good and the tools available to succeed are always available.Room from improvement and growth is present.", , 
114,Productive,Learner operator,Mpumalanga,"November 29, 2016",It was very fun there but we were simple focus on our work. We were only there for training and push my self to gain more although some other time we faced the challenges.,Free lunches,Normal hours
115,Question and answer,Data Engineer mudlogging,N'Djamena,"November 24, 2016","The most important day at work is in my opinion Rigging .I have possibility to learn the Rig plan and safety issueManagement is more better on OFFshore than on Onshore. But not criticalWorking together with Co-workers from several country is excited because you will learn another culture and the atmosphere is advantageous to go ahead.The hardest part of the job is to perform rig up or rig down because during this part of the job we have to collect inforlmations to rig crew and set our equipments, keep them ready to start drilling phase.The most enjoyable part of the job is learning all the time, that I like more and travelling.",free internet,Long hours of job
116,productive growing company,Assistant,"Brits, North West","November 16, 2016",glencore is one of the best big company while you  work on it theirs big opportunity of growth and development.the management is productive and experienced with sound knowledge of each business their are doing.,good medical,retrenchment
117,Hard working culture and good people,Production Engineer,"Rustenburg, North West","November 16, 2016",High pressure environmentGood team dynamicsExtreme physical environmentRemuneration is fair for the amount of work that is requiredWork balance between the office and plant.Standby responsibilities are hardsThe people you work with are genuine and hard working,Very good salary,Poor development for engineers
118,was a good place to work great crew good roster,Road Train Driver,Mount Isa QLD,"November 8, 2016",PASS meeting - where we find out what was going on and what is to be going on.Get your assigned truck do a walk around prestart fill in paper work (as nothing seems to run without it ) call pitram let them know who you are and which truck you are in and where you are ( as they like to keep track of your movements and loads ) leave go line and load up with ore take it into town and repeat several times stopping for crib of the runs to enjoy a cuppa and a chat with the crew.checking punctures two or three times a shift reporting any mechanical problems to the workshop and any other problems to the leading hand.at the end of shift going to go line finishing up the paperwork cleaning the truck windows ready for the next shift handing the paperwork in taking a shower and going home.,Good place to work great crew showers and clothes supplied,Management was not very deciecive
119,Productive,Fitter,"Rustenburg, North West","November 5, 2016","When I changed a bearing assembly alone at night with no assistance and the next morning the production foreman said to me "" I thought you should be done by this time. You must always humble yourself no matter what people say or do to you. Always have a positive mind. Co-workers were very supportive to me. The hardest part of the job was to work in a muddy area and no one to assist you especially when its a call out at night. The most enjoyable part of the job was when I attend breakdowns and after the breakdown the plant runs smoothly without problems.", , 
120,working hard,Diesel Mechanic,"Witbank, Mpumalanga","October 29, 2016",I work hard each day and the hours a long but the people are goodWe deal with break down and repairing and maintenance equipments,great teamwork,too many breakdowns
121,A Great Place to Work,Receptionist/Office Assistant,"San Jose, CA","October 28, 2016","I LOVE THIS COMPANY!!!! The nearly 6 years I were there, I am to blessed and honored to have worked there! the management and staff are awesome people and I love them all. I cried when I had to leave due to layoff but they were good to all the employees. My boss is the best in the world loved her.",Great pay! Great Benefit! Great people!!!,Lay off
122,Productive with success prospects,assitant Planner,"BRITS, North West","October 28, 2016","systems/database administrationserver monitoringtesting - if we are in a projectassigning rolesUAT sign off after a projectproject monitoringliase with support partnersquery handlinginternal users/external user supportproject meetingsteam meetingsla managementdeadline review and assignmentuser system queries , making sure the systems and servers run smooth.managing to reach sla's and when users are happy . everything running smooth.",team buildings events,month end drive
123,Production,plant operator,"Rustenburg, North West","October 26, 2016","Hot , noise,and its dusty, I learnt how to work harder and working shifts,my coworkers are frently , the management is good, the hardest part of my work is to work at tapping team",Free present,12
124,Productive and fun,Geologist,Rosh Pinan,"October 25, 2016","I enjoy what I do at work, overall pleasant environment to work for.My work involves technical and provide much opportunities to learn everyday. I enjoy working with management and my co-workers. The hardest part of my job is when following procedures and standards which I do not enjoy doing. The most enjoyable part of my job is working with the team and when everyone pulls in one direction.",Conducive environment,Minimum innovation
125,Production based job with maintenance,Coal washery technician,Teralba NSW,"October 19, 2016",Found the company to be a strict company with the workforce.Regarded safety as the most important part of the job. With minimal workforce the tasks were made harder to complete.,Regarded safety as priority,Minimal workforce
127,Productive and full of learning opportunities,Electrician,"mpumalanga, witbank","October 17, 2016",I was a shift electrician had fault on a Heavy Medium pump the motor had an earth fault.I called the standby electrician to assist he arrived on time.,Production bonus,Long hours
128,gezellige werkomgeving,Financial assistant,Rotterdam-Zuid,"October 9, 2016",leerzame stageplaats. ik heb de gelegenheid gekregen om veel werk ervaring op te mogen doen., , 
129,Empresa prestigiosa,INGENIERO DE PRODUCTIVIDAD Y PROCESOS,"Lima, Lima","October 7, 2016",Empresa multinacional con grande operaciones y una gran cultura de seguridad, , 
130,makes things easy fo all by using internet and gives everyone chance,electrical aide underground,"Steelpoort, Limpopo","October 3, 2016","I gained lot of experience working with them and they gave me chance on electrical field now I know here and there about electricity,so I want to become artisan",bringing my own food,working underpreassure
131,Clear Career Pathways,IT Field Support Officer,Mount Isa,"October 1, 2016",Want to progress further in your career? Glencore is a great place to progress. Management was great with sitting down with you and mapping a clear pathway to your end goals.,Training, 
132,Typical Mining Culture,Administration officer,Mount Isa QLD,"September 28, 2016",The days were 12 hours each and the work was hot and dirty but I very much enjoyed my role.I learned many different skills and gained some valuable experiences.I enjoyed working in the team I was in and my co-workers were always supportive.The hardest part of my job was adapting to the heat and working outside in such high temps.The thing I enjoyed most was the skills and friendships that I gained., , 
133,Challenging work place,Administrator,"Witbank, Mpumalanga","September 20, 2016","Busy on daily basis, working closely with accountants from different operations, I have learned to be always accurate due to woking with figures cause at the end of the day everything must balance.New challenges everday cause people are not the same, Hardest part is to supervise peopleMost enjoyable part if everything I do goes accordingly and dead line met", , 
134,Shark environment and never-ending working days,Traffic Team Member,"Baar, ZG","September 13, 2016","They sure pay well and have plenty of benefits, but I wouldn't recommend working there unless you are ready to commit all your life 100% to the company. Be ready to work until late everyday. It is considered normal to go to the office on Sundays and even bank holidays.", , 
135,Productive fun workplace with table tennis,Operator,Mount Isa QLD,"August 23, 2016",great working enviroment well managed very structured toward reaching our daily KPI targets in a safe manner never had a problem, , 
136,Trabajo en equipo,OPERADOR DE TRACTOR ORUGA,ESPINAR - CUSCO,"August 15, 2016","Que el trabajo se hace coordinadamente, aprendi lo que es el trabajo en equipo",Seguro medico,Dias de descaso
137,Excellent work place just atruggle to get learnerships,Millwright Apprentice,"Rustenburg, North West","August 1, 2016",Good company just a struggle to get learnership internally they want people external to put on contract fixed terms,Shift allowances,Not permanent
138,In business to win,Material & Logistics Manager,"Chad, Africa","July 28, 2016","Glencore has only one rule and that is to win.  If you are in line with winning than you will go far.  If you are not dedicated to winning than this company is not for you.  The culture tends to be focused on young workers and working them hard.  Pro, opportunities for young people, con, the work hours and commitment can be long.", , 
139,Not good place to work at dur to the behaviour of peaple,Laboratory Attendant,North West Wonderkop Rustenburg,"July 20, 2016",I used to enjoy my work and then things changed as the analysts and HOD just stopped caring and the treatment it's not acceptable and there is no development,No free lunches,Normal working hours
140,Productive,Electrician Apprentice,"Witbank, Mpumalanga","July 19, 2016","Glencore gave me a good quality of training, I wouldn't be here today and be able to do what I can do today if it wasn't for this company.",Free lunch,Day off
141,good work place safety first,boilermaker assistant. safety representative,"Rustenburg, North West","July 19, 2016",Glencore is big company with good profits in global employees with safety first company working together with employees good communication looking after them,avery month glencore crating safety in minds of the employees with free lucky drow presents,u can work long hours at glencore regards your job breakdowns
142,Es una gran empresa,Superintendente de Geologia,"Lima, Lima","July 18, 2016","Es una empresa que emplea en sus operaciones los mas altos estándares de seguridad, medio ambiente, calidad y responsabilidad social y brindando muchas oportunidades de crecimiento personal y profesional.","Seguro medico familiar, seguro oncologico",Ninguno
143,Good in developing employees as well as external learners.,ELECTRICIAN,"Witbank, Mpumalanga","July 18, 2016",It is a very busy place which always keeps someone on toes.It has built me a self esteem e.g. working with minimal supervision.The foreman and HOD were very supportive.Some co-workers were very rude but most were very good team players.The hardest part of my job was to attend the breakdown without spares.The most enjoyable part of my job was when spares are available during the breakdown.,Incentives,Overtimes not being signed in time
144,Conditions de travail avantageuses,Chargé de projets,"valleyfield, QC","July 13, 2016","En tant que chargé de projet, je m'assure que les demandes des différents départements au niveau des projets d'automatisation soient traités de façon à satisfaire leur besoin. Je gère toutes les étapes des projets incluant l'installation et la mise en service. L'ingénierie est souvent donnée à des consultants externes, mais la gestion de ceux-ci m'appartient.J'ai appris à gérer du personnel de maintenance, des consultants et des entrepreneurs.Le plus difficile de ce poste est de concilier tous les projets de tous les département à la fois, soit environ 35 projets simultanément en tout temps.Le plus agréable du poste est la diversité des projets et l'autonomie qui nous est offert pour trouver les bonnes solutions aux besoins du département.",Horaire et avantages sociaux, 
145,environnment de travail agréable,cuisinier d`établissement,"Rouyn-Noranda, QC","July 10, 2016","J;ai vécu une très belle expérience au près de la compagnie glencore,le personnel de la cuisine étaient vraiment agréable à côtoyer,une belle expérience dans le grand-nord,","transport par avion, vetements fourni par la compagnie, très bien logé", 
146,bonne environnement de travail,superviseur entretien,"Nouvelle, QC","June 19, 2016",bonne expérience de travail chez Alcoa car on touchait un peu a toutes sortes d'équipement en entretien.,usine tres propre,pas d'appui
148,bon environnement de travail et santé sécurité primaire,Superviseur entretien mécanique pyrométallurgie,voh,"June 19, 2016",bonne journée de travail car les défis était énorme. tel que la construction de l'usine et la mise en marche de celle ci.autre défis rencontré était le changement de culture et d'environnement.,beaucoup de congé férié,éloigné de nos famille
149,Team work and good time management,Security Advisor,Douala Cameroon,"May 16, 2016","Immediate reaction and collaboration of colleagues in case of an incident, really impressed me. I learned that working without having a lay down procedure, leads to failure. And reviewing this procedures is very necessary for the safety of Assets and employees of the Company.",Free lunches,Normal working hours
150,"Best time of my life, learned a lot while working at Glencore",Chief Safety Officer,"Brits, North West","May 15, 2016","I had the best mentor and that helped me in being the best that I was in my job. The systems were not complicated and easy to work with. Even through challenges, working as a team manifested a lot.",Systems,Hardly
151,Great company to have worked for,Group Geologist,"Middelburg, Mpumalanga","May 6, 2016","My skills was expanded in the evaluation of possible merger / acquisition projectsThe work-place was very empowering, having to make and support your own decisionsSystems were not in place at first - no working geological database, and it had to be developed.  I found the fact that we did not have a working database very frustrating.  Also, because of previous acquisitions, a lot of the hard copy logs was not available, so you had to evaluate on ""gut"" when issues came up.I enjoyed the fact that we were empowered to develop our own business areas and were not micro managed.  Obviously it came with responsibility and accountability.  I also enjoyed the fact that my knowledge got stretched, working on projects from different coal fields, different markets and such.There is no typical work day - depending on the time of year, it may be sent building / updating models, reading, pit / underground visits, discussions.Sadly, business is being restructured and I will have to leave soon.","Close to home, so I could spend more time as working hours and do not have to travel long hours to and from work",Being retrenched
152,Exiting and demanding,Safety Officer/Auditor,"Witbank, Mpumalanga","May 4, 2016",The day starts with a meeting with fellow employees followed by an early site visit to ensure compliance with safety and information briefings. Training sessions are conducted on site.I learned long ago that you do not assume anything and see it everyday.To keep people focused on safety is the hardest part of the job. To the statics improve month after month is enjoyable as it means that the effort on safety is not wasted,Resources are available,This is a fixed term job
153,Ambiente de Trabajo buena,Ingeniero Planta Concentradora Junior,"Oyon, Lima","May 2, 2016",Buen trato hacia el personal dando oportunidad de crecimietno a nivel profecional y Trabajo en equipo y bue trato al personal de la empresa,Seguro Medico Privado, 
154,"Very good salary, not a good work culture",Open Pit Mining Operator,Mount Isa QLD,"May 1, 2016","We were just minions, and i'd love to be part of a better work culture. I strive to be part of a team and mining did not provide this for me.", , 
155,fun workingplace,diesel mechanic,"Witbank, Mpumalanga","April 22, 2016","beneficial, challenging it is also a good place to learn new things and interact with other employees. you are given an opportunity to learn.", , 
156,Productive,Diesel Mechanic,"Witbank, Mpumalanga","April 16, 2016","Long working hours when there is breakdows,co workers are supportive,management not so good to the man on the floor. I learned a lot at this company about coal and production",none,none
157,Productive,"LHD Operator, Drill Rig (LP)","Brits, North West","April 12, 2016",I'm hard worker and fast learner .  I take my job very seriously. On time delivery is very important to me. Glencore was a very welcoming company to work for. I'm one person who cannot rely on company when it comes to learning. I'm actually a go getter., ,long hours
158,a safe invironment to work on,Electrician,"Witbank, Mpumalanga","April 12, 2016","Team work is encouraged, safety is of paramount importance.They promote culture of working safely at all times.The most enjoyable part is when you fix a breakdown",incentives,long hours
159,Productive fair workplace,Boilermaker,"Steelpoort, Limpopo","April 8, 2016","The day starts on a fast mode where inspection reports PMO's have to be completed in the early hours of the morning. As the day progresses pressure decreases depending on smoothness of the plant if there are no hiccups then definitely we are a good day. similar to when the plant has its hiccups it really eats to the bone, good part is feeling proud after having attended any problem or a typical maintenance day. most importantly there is very good and sufficient team work from fellow employees.",Fully paid for medical aid,Not protecting assertive employees
160,"Very productive workplace, well managed.",Vacation Work: Student Engineer,"Lydenburg, Mpumalanga","April 6, 2016","The typical day at work is 9 hours long, starting off with meetings in the morning then straight to work thereafter. I learnt a lot from my mentor, who is also a manager at the Company. My co-workers taught me everything I know now. It was really hard work, and I had to work overtime sometimes. But it was very enjoyable, I loved every minute of it.", , 
161,Ambiente Grato,Jefe Administrativo,"Antofagasta, Antofagasta","March 31, 2016","Cordialidad al inter actuar con colaboradores de casa matriz Santiago, recibiendo siempre la voluntad de colaborar a mis inquietudes.",Seguro complementario, 
162,high quality approach on safety,Plant Mechanic,Mangoola Coal,"March 31, 2016",Although being one of the safest pits for job security being permanent it lacks moral and happy leadership. with extensive paperwork to do simple low risk work slows the productivity and focus on the job at hand.working with guys that you went to school with and know outside of work makes things a lot more enjoyable but the same time learning off each other to gain different skills needed in different fields.,"Tight work group with similar interests, work close to home","Understaffed, lack of training, extensive paperwork"
163,"Extremely difficult working environment (Chad,Africa).",Drilling & Work-Over HSE Safety Advisor,"Chad, Africa","March 23, 2016",There was a constant looming danger of terrorist attacks on ex-pats throughout continental Africa (Boka-Haram). The indigenous population is very friendly but prone to criminal activity (theft). Malaria is a constant concern.,Working with diverse cultures,Poor employee security
164,long hours hard job.,Met Plant Assistant,Mount Isa QLD,"March 20, 2016",job was hard management was hopeless and safety was out the window when plant was down and money was not getting made long hours,money 4 on 4 off roster,working morale
165,EC&I Commissioning,EC&I Commissioning Speacialist,"DR Congo, Lubumbashi","March 14, 2016","Its a good company to work within, a lot of pressure and challenges which in one thing i really enjoy.The Environment was dynamic as most multicultural environments, one had to appreciate different cultures and beliefs.The environment encouraged a lot of learning, as i had to do a lot of research work, in order to address different problems which is quiet a thrilling experience.", , 
166,Environnement de travail agréable,Service RH stagiaire,N'Djaména,"March 9, 2016",Le département RH doit encore fournir beaucoup de travail afin d'alléger leur taches.les collaborateurs sont très compréhensibles et motivés, , 
167,Excellent,Senior Project Manager - FTE,Mount Isa QLD,"February 17, 2016","excellent staff, benefits and employees are top notch. Cannot say more than this as a previous employee. There is nothing more I can say as 20 words is more than enough at this time.", , 
169,Commercial Metal Roofing,Site Supervisor.,Brisbane QLD,"January 31, 2016",High risk work environment that requires strong team work ethics to achieve a High quality result for customer. Team safety was always paramount., , 
170,would recomend to family and friends,Plant Operator,"Mount Isa, QLD","January 17, 2016","regret taking a redundancy package, great work and living  balance, good working enviroment and always a changing enviroment",working hard for your money,culture 30% of the time
171,Comany seemed lost with no directon,Quality Manager,"Calgary, AB","January 7, 2016","Worked from 05:45 to 15:30 every day and through the weekends when at site in Chad, Africa. The schedule at site in Chad was from 06:00 to 18:00 every day. Enjoyed the challenge when the company was Caracal and we started from a green field site to 2500 bbd in 18 months. We had a great team and we worked well together.",Hard work and long hours and great achievement,Management transition not well done
172,Bonne environnement,Stagiaire,"Matagami, QC","January 5, 2016",Bonne environnement propice à une bonne carrière.Propice au dépassement de soi,Repas gratuits,Courtes pauses
173,Glencore Xstrata Altonorte,Mantenedor fusion,"Antofagasta, AN","December 27, 2015","1. dia tipico de trabajo, realizado, bajo todas las normas de seguridad. monitoreando estado de equipos. mantenciones preventivas, predictivas y correctivas2. mi aprendizaje dentro de la compañia logro que me especializara mas en los euipos electromecanicos, mecanicos. hidraulicos,de aire. etc3. de mis colegas me llevo grandes amigos, los cuales ya siendo compañeros de trabajos en la ciudad somos grandes amigos.4. la contaminacion,lidiar con eso todos los dias y que sabes que al final te hace mal5.el trabajo en equipo, la coordinacion, la planificacion.","seguros medicos, complejos deportivos, negociaciones colectivas.",contaminacion.
174,Good Experience,Contracts Specialist,"Stamford, CT","December 23, 2015","It was a nice company to work for, just didn't provide many opportunities for advancement.  Held seasonal gatherings for their employees and treated us well however.", , 
175,To be exposed to other companies is part of my goal before I retire,Assistant Occ. Hygienist,"Witbank, MP","December 20, 2015","The company has developed me into a person I am today . Working for this company for the past 23 years, management has shown trust in me into converting my life style today.", , 
176,Old Mines - Challenging environment,project manager,Zambia,"December 20, 2015","From 07:30 to 17:00, Learned a lot of Emergency Management, CEO on Mine and structure to Manage 7 Shafts, Zambians are very positive helpful people. Hardest part of the job was to get all team members to be on time. Environment good to apply all skills.",Environment to apply skills,Away from home
177,quite environment,Business Analyst/Project Management,"Stamford, CT","December 8, 2015","Many chances to learn while dealing with many different situations. You easily get to have a lot of responsibilities, hours are pretty long and very hard to get day off.",flexible benefits,long hours to work
178,Overseas,Drilling & Completion Technologist,"Calgary, AB","December 2, 2015",I Enjoyed working in the overseas environment for work & life balance. The people I worked with in Africa were professional and an excellent team., , 
179,Fun place to work,Risk Manager,"Stamford, CT","November 30, 2015",Enjoyed working at Glencore. Learned invaluable work ethic and how to be apart of an excellent team. Gained extensive knowledge of the commodities market., , 
180,Job Culture,Pelletizing Chromite Plant Operator,"Steelpoort, LP","November 27, 2015",Glencore is diverse company in the world and offered me the greatest experience i longed for. though Glencore Lion smelter i manage to gain a lot of experience in different roles. i'm working with dedicated team that challenge to meet the production set value at all time.,free launch,long hours
181,Challenging working Environment,Production Supervisor,"Ogies, Mpumalanga","November 24, 2015",I always make sure that safety comes first. I have learned how to work with people from different cultures and beliefs. The important thing is to personally develop and grow through people interaction. The most enjoyable part is to work alongside my colleagues and learning from them. I did different things in the work I do moving from one department to another i.e (from drilling to loading and hauling),Incentives,long hours
182,Challenging,ENGINEERING ATTENDANT (HEAVY DUTY VEHICLES),"Impunzi Complex, Witbank","November 20, 2015","I do look foward to waking up and going to work, the everyday challeneges on my job are quite interesting. learning from the artisans i work with is part of my personal growth. I have fully learned to workunder minimum supervision and i now understand that people have different attitudes and way of doing things. The main draw back is that there is no development for employees accademically.",None,No motivation
183,Productive and proactive workplace,Senior Construction Manager,"Steelpoort, LP","November 18, 2015",The company very professionalExtreme presure for completion and a lot of chalanges with incorect equipment and structures wich was brought in from overseas witch entails flights meetings overseas and extremely long working hours this was mitigated by a strong and effective Management team and a motivated workforcethe reward was in completion and first product produced with very few commissioning snagsAlso to achieve 7 000 000 LTI free hours on the Project,Good and productive working enviroment,Very long hours
184,very productive and always on time,CREDITORS ADMINISTRATOR,Mpumalanga,"November 12, 2015","workplace is professional and management is very supportive.  I enjoy the day to day challengers as in finance there always is especially month end,  I am accurate and pays attention to every detail.", , 
185,productive and very busy,RAW MATERIALS SUPERINTENDENT,"Witbank, MP","November 7, 2015",I enjoyed working for my present Employer for the last 20yrs .I started as a Stock Yard Controller and worked myself up until I was promoted to the Raw Materials Superintendent . I enjoyed the full support of the top management . I established a very strong relationship with my co-workers .,free bottled water,flexible hours - no problem with that
186,Junior Operator,Junior Operations,"Stamford, CT","November 3, 2015","A normal day at work consists of logging into shared excel work sheets which have all of our product movements (gasoline). I would then go into our trading system (tempest) and make sure all of our movements are reflected properly and also make sure any secondary costs such as tax and shifting fees are accrued for to make sure there would be no exposure. Working with third party companies was also a significant part of the day. Coordinating our movements of Gasoline through out the colonial pipeline as well as vessels at sea. Most of the people working at Glencore are kind and extremely knowledgeable, its a very serious working environment so there is not much room for socializing but i was fortunate enough to make a few life long friends. The hardest part of the job was keeping track of the delivery terms for contracts, every delivery term includes or excludes certain taxes, and fees. With so many movements in a month it is hard to keep track of every single one. The best part of the job is the social events that take place outside of the office like i mentioned before there are some very amazing people at Glencore.","Hour lunch break, young office.","Strenuous work environment (yelling, fights etc.)"
187,"Everyone out for themselves, no team here",Minion,"London, ENG","November 3, 2015","No communication  between different areas, Management refuse to listen to ideas by those junior. Salary is the poorest within global commodities. No work life balance. People unhappy as senior managers earn a fortune but this is not seen elsewhere, especially by those whose work directly contributes to their salaries and bonuses. Junior traders usually move to other houses where there is prospect of promotion.",The company name on your CV,"long hours, derisory pay, appalling treatment"
188,Day in the life of,HSE Manager,"Rolleston, QLD","October 21, 2015","Inducting/training workers to Glencore SafeCoal programImplementing Glencore Fatal Hazard Protocols programDelivering/participating in formal risk assessmentsReviewing contractors HSE management plansInterfacing with construction contractors HSE team Conducting gap analysis and site/desktop auditsPlanning, delivering, tracking of visual leadership KPI'sIncident reporting and investigations / corrective, preventive actionsChairing of owner/contractor HSE meetingsMonthly project reporting and presenting to senior management", , 
190,Evolution,Gestion des stocks,Grande synthe,"October 21, 2015","Détermination de la production J-1suivi des stocks et gestion des fluxAnalyse de marche et conseils de productionSuivi de la qualité produiteSuivi de la planification de productionPeu de possibilité d'évolution du poste occupéBonne entente avec les collaborateursManque d'informations de la part de la direction.Autonome sur mon poste de travail, planification personnelle de mes activités.",horaires de travail.Gestion autonome des taches,travail routinier
191,Productive and fast pace day at work,Graduate Accountant,"Witbank, MP","October 15, 2015","I love what I do.  The day flies past as work is constant and never ending.  Deadline must be met, one after another.The people all work together, and ever so now and again, have a good laugh together.Management tend to let you work alone, as we know what is expected from us.","Organised, systematic and disciplined",Fast pace.
192,Good company & good crowd to work with,Master / Senior Planner (Scheduler),"Witbank, MP","October 15, 2015","In the project controls environment.Employees are encouraged to develop a strong sense of affiliation with the institutional framework that defines the organization - rules, regulations, policies, procedures, directives, laws, acts, etc. The employee is expected to apply existing rules to conduct business, and on occasions, to interpret rules in some new way for the purpose of addressing project issues not readily covered in the existing framework.To have the capacity to manipulate and evolve the objective throughout the project life cycle as appropriate to the overarching corporate values.We are expected to revisit and adjust project objectives with the attention focused on the corporate values horizon. In turn, this requires the capacity to manipulate the tools and the rules with the knowledge and experience to understand the implications.","Good communications, support, understanding & encouragement",Extra mile
193,Ambiente de trabajo es bueno,Analista Contable,"Lima, Surco","October 11, 2015","La empresa es puntual en los pagos a los trabajadores, hay constante capacitacion",Eps 100% cubierto,Noy hay bonos de alimentacion
194,Great workplace,LEGAL ASSISTANT,"Johannesburg North, GP","September 30, 2015","It is a great workplace, with no issues. There is room to grow and develop. The only reason I am leaving is so that I can work in a field that I am passionate about.  This is communications.",Lunch hours, 
195,Fifo,Boilermaker Welder/Supervisor,"Mount Isa, QLD/QCLNG CURTIS ISLAND QLD","September 27, 2015",Always looking for another challenge on the work front that makes the time go quicker hard work makes the work hours go quicker,Fifo lifestyle welded into me and my family,Wet weather cyclones cannot work
196,"Atmosfera laboral entre colegas muy cooperativa, bebidas gratis, etc.",Ejecucion,"San Isidro, B","September 21, 2015","El ambiente laboral era de una flexibilidad acorde con la enorme responsabilidad y trabajo efectuado. En planta eramos compañeros que nos exigiamos codo a codo con las metas y compromisos diarios. En mi sector cuando mi compañeor tenia licencia vacacional o por enfermedad quedaba como unico responsable. Los dias ofrecian demandas muy diversas que demandaba esfuerzo extra por lo que despues de hora se hacia mas facil y rendidor el trabajo. La empresa ofrecia bebidad para tomar, lunchroom y uno podia optar por cumplir con compromisos fuera de lo laborar sin que hubiere problema ej. medico, evento familiar, etc.",Ofrecia OSDE como seguro medico y la zona tenia varios centros medicos cercanos donde atenderse.,"De a momentos muchisimas horas extras realizadas, muchisimo trabajo aunque bastante austeridad durante los ultimos años, en cuanto a premios anuales y en otros rubros."
197,Gran equipo de trabajo,Ingeniero de Excelencia Operativa,"Oyon, LIM","September 21, 2015",Se aprende muchísimo. Trabajo en equipo para todo trabajo de importancia. Buen equipo de trabajo e Ingenieros muy calificados.,Todo cubierto por la empresa,Descanso así como algunas co
198,Innovative workplace,Finance Supervisor,Chad,"September 18, 2015","I like where I work because I have access to the level where I can express my ideas for areas to improve . Also , it is a truly multicultural place where you work with people from all over the world.", , 
199,"glencore lion is a smelter plant that produce tons of chrome, this happens 24/7 because of the productive team ever..it is indeed a good company",artisan welder (casings),"steelpoort,limpopo","September 17, 2015",".every day at glencore is a new day, as we leave no job standing.challenges and working independent is somemthing we learn on daily basis, espeacially when thers breakdown.the managers are so open and handfull.my fellow co-workers are the concrete team ever saw.even the hardest job will have solution by the end of every shift.installing a casing is always trick and enjoyable", , 
200,Fun place to work with great opportunity to move ahead in your career,Recruiter,"Calgary, AB","September 16, 2015","The downturn in the economy meant layoffs for the company, me included. The Calgary office ended up fully closing at the end of August.", , 
201,"Very generous to employees, but lacks a culture",Facilities Assistant,"Stamford, CT","September 11, 2015","Great company, very stable, but lacks a culture where there could programs and activities that promote cohesiveness between employees and departments.", , 
202,Trading giant turned miner - good firm but has lost some of it's edge,Analyst,"Baar, Switzerland","September 7, 2015","Extremely flat, very little hierarchy. Work is stimulating and you get a good amount of responsibility from the get-go. Management is questionable but that will sort itself out within 5 years.","Great benefits (christmas party, christmas gifts, facilities), pay",lost it's aggressive culture
203,productive and challenging,Financial Data Capturer,"Mpumalanga, ZN","August 27, 2015","My day-to day Job  is to process orders using SAP and SRM system.Capturer invoices and  follow up on release , attend to queries from suppliers, process shopping cards and request for order numbers from  ( procument team), and order stores item on a daily basis.  process contract orders and make sure that they are upto date.I've learn to do plant maintenace orders, running reports using the SRM/SAP system. checking budgets, doing recons. Create reports using excel i've learn to liase with management regarding orders and give some advise where i can. I am a team player, i got good relations with my co-workersTheres nothing hard about this job, it's that we sometimes  have to deal with diffult suppliers and foremans.I've enjoy processing orders, because learned new things everyday. working with numbers is good.",none, 
204,glencore is ok but eland platinum mine needs new management,Instrumentation Technician,"Brits, NW","August 27, 2015",glencore says their most valuable assets is their people but at eland platinum mine that is not the case.the engineering manager denies young people opportunity to go learn about new products in the market.current management style(bullying and threatening) ineffective with the generation on the ground hence more time is spent on hearing than at work.most management especially in engineering are under qualified and don't know much.too much inconsistency procedures don't apply equally to everyone.too many incompetent family members at the offices,good medical aid,no developement
205,"Agradable, personal amable y cooperativo.",Secretaria de Gerencia,"Santiago de Surco, LIM","August 25, 2015","Total apoyo y consideracion con e personal, me agrado mucho el buen espiritu de compañerismo del personal.", , 
206,Work culture,Senior HR Advisor,Mount Isa,"August 22, 2015",People very enjoyable work culture and the people are very accepting at all levelsOpen and honest work culturelots of variety across different departments,people,nil
207,Bottom Line,EH&S Continuous projects,Africa,"August 13, 2015","Very large company with a huge market share, that is driven by finances. Big into controlling as much of every stage as possible.", , 
208,very good company looks well after there employees,Millwright,Brits,"August 13, 2015",Very busy on production side. Work most weekends Saturdays and Sundays. Salary is good but no balance between work life and family.,Good salary and medical,work most Weakends and little family time
