,review title,job title,job location,date,description,pros,cons
147,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
148,"Great People, and Great Company",Executive Assistant,"Magna, UT","May 22, 2017","The people were the best part of this job.  The company is, and given their line of work, absolutely should be focused on safety.  Each meeting begins with a safety tip, and I really appreciated that.  The work was interesting and I enjoyed it, and there was plenty of opportunity to advance, but the best part was the people.", , 
149,Good company to work for lots of perks great pay!!!,Supervisor/Leading Hand,Hope Downs,"May 19, 2017","Any job is what you make of it. Had an amazing time with the company & lots of career choices. The only let down in a way is a lot of leaders in the last 5yrs are fresh out of uni. Some are making big changes for some departments they have not physically worked in themselves only by textbooks at Uni. To all graduates taking on a company this big..... Listen to the experience on the floor. How your program on the computer tells you to do it, is usually nothing how it works in the pit!","Bonuses, pay, lifestyle rosters, great health care covers.","Night shift between 2am & 6am!!! Young managers, lots of greenys, Veerry long days in the pit leave at 5:30 return 6:45 days or nights"
150,Great company,Construction Superintendent,"Salt Lake City, UT","May 18, 2017",Indeed has always been prompt with finding employment to people I know. I think that they are professional and should be seeked out to assist anyone find a job.,Promt,None
151,Gone backwards,Plant maintainer,Tom price,"May 16, 2017",Was a great place to work but changes did not suit me.so left to pursue better life work balance to suit my future plans in the pilbara and surrounding area.,Good team,Roster change did not suit
152,Was probably my favorite job to date.,HR Training - Administrative/ Training,"Bingham Canyon, UT","May 11, 2017","Worked at KUCC for 7+ years. Loved my job and co-workers. The focus on safety is a given considering the atmosphere, though they went the extra mile.I met some of the most outstanding people in my job position and am grateful for all of the opportunities to develop and grow.",Met some of the most amazing people,The smell and change in leadership that eventually demolished the department.
153,Une très belle expérience,Conseiller en prévention des accidents - Aciérie,Sorel (80),"May 11, 2017","Une place ou les aides pour travailler sont exceptionnels, on a accès à tous ce qu'on a besoin pour travailler",horaire flexible,Les coupures dans le personnels câdres quand la compagnie a des difficultées financière
154,"Great benefits, but the job security is not great",Finance Services Global Process Improvement Leader,"Leader, SK","May 10, 2017","Very aggressive Outsourcing to IBM which puts the Finance operations at risk.  Good change management, great team, but aggresive implementation schedule.", , 
155,Vie famillial excellente.,Surveillant de chantier,"Saguenay/Lac-Saint-Jean, QC","May 10, 2017",Temps libres pour famille très acceptable. Relation avec sous-traitant excellente. Environnement de travail sécuritaire et bien géré par Rio Tinto., ,Mise a pied sans pre-avis.
156,Productive and Interesting Place to work at,Engineering Coordinator/Document Control,"Guinea, Conakry","May 9, 2017","We had the opportunity to be outside the country and our management team were so caring, we travelled to the beach on our weekend off,We learned how to interact with multi cultural peraonnel as a team","lunch, dinner",2 weeks vacation and medical aid
157,good work life balance,IT Analyst,"London, UK","May 8, 2017","Happy to be part of the team which i worked here, as all people supportive. company value our safety so HSEC is strictly followed here which helps us to carry the same standard of safety as our best practice in our personnel life too.", , 
158,good,aministrator,"Illovo, Gauteng","May 6, 2017",i was a office administrator. i got experience in human resources.  very nice environment to work in. good management. most hardest part was over time., , 
159,Good company to work with,SAP Team Lead,CA,"May 6, 2017",Good company to work with. The work environment is challenging and give an individual lot of opportunities to learn new things and evolve as an independent consultant., , 
160,environnement particulier,Agent d'Accueil,Loon-Plage (59),"May 3, 2017","Travail intéressant, savoir gérer son stress, être ordonné, réactif", , 
161,Great pay master with exciting oppotunities for those who perform,Specialist - Global Mobility,"Gurgaon, Haryana","May 1, 2017",Great pay master with exciting oppotunities for those who perform.I have seen people grow heaps and bounds in this organisation. I am one live example., , 
162,"Exciting, highly innovative balanced with high demands on individuals",National Recruitment Operations Manager,Brisbane QLD,"May 1, 2017",Exciting opportunities with a global company.  High drive for innovation and cost-savings has bred a unique culture of continuous improvement.  Work demands on individuals can be excessive., , 
163,Unable to review,Surveyors Assistant,Tom Price WA,"April 29, 2017",I was not working with this specific company long enough to give an accurate review of. The star ranking does not represent my opinion of the company but is a required field so has been selected as 3 stars across the board, , 
164,Toute l'Europe doit disparaitre,Généraliste RH,La Défense (92),"April 25, 2017",Anciennement une belle entreprise de la belle époque Pechiney. Aujourd'hui Riotinto n'est plus qu'un groupe géré par des financiers ou l'humain importe peu. Projets d'externalisation à gogo dans les pays ou la main d'œuvre n'est pas chère...,Beaucoup d'avantages sociaux,Pas de perspectives d'avenir sur la zone EMEA
165,Demanding but satisfying,Granulating Operator Level C,"Boron, CA","April 15, 2017",The work here is very demanding but at the same token very rewarding when you see the hard earned paycheck and the results of your work at the end of the day and the work week.,Pay and safety culture,Long hours forced overtime low manpower
166,Management,Construction Supervisor,"Kitimat, BC","April 13, 2017",Management is cut throat. They compete between each other and stab each other in the back to seem better at their job.They do not promote or provide a heathy work place.,I don't work there anymore,not a team enviornment
167,Decent workplace - free lunch!,Administrator,"London, Greater London","April 11, 2017","Beautiful offices, and really friendly staff. The biggest perk of working here is the £3 lunch they add onto your card each day which you can use for lunch/breakfast or any refreshments throughout the day. Also, lovely area where situated.",Free lunch,Nothing
168,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
169,Oui l endroit etait tres bien pour le travail et aussi l environnement,Repartiteur operation voie ferree,"Havre-Saint-Pierre, QC","April 11, 2017",Pour l ensemble je recommande a tous de postuler un emploi chez Rio Tinto Fer et Titane,non,oui
170,great place to work,Instrument technician QA completion team,Cape Lambert WA,"April 7, 2017","Prestart meeting as usual , to get to know whats happening on site . and do my usual paper work in the office , following walk downs , recording findings", ,10 hour days
171,Experimented with new possible sampling methods,Sampler,Tom Price WA,"April 4, 2017",I found it really good to work for Rio and really liked working to experiment new possible techniques to further the industry. The people i worked with during this time were great and made working all the better., , 
172,Bien,Formateur Pont-roulant,"Saguenay, QC","March 31, 2017","Je suis retraité. J'ai vécu dans une entreprise où l'on reconnaissait la personne avec toute sa valeur. Pour ce qui est de RioTinto, je ne puis donner un avis sauf car j'y ai travaillé pour une très courte durée à titre de consultant.", , 
173,Good work colleagues but Supervisor's can be two faced.,Train Controller,Perth WA,"March 28, 2017",Good working with the fellow train controllers but recently found that my Supervisor was a little two faced. Good working roster of 6 days on and 6 days off.,Roster,Supervisor's
174,Enjoyed an amazing work life balance working on a 5/2 roster enjoying tennis and time with family on weekends,Specialist Mining Engineer,"Perth, WA","March 22, 2017",A multicultural and multinational set up where everyone was treated equally. The enjoyable part was your contribution was recognized and rewarded. I learnt to work under pressure and still was able to get the work done both as an individual and as a team player.,Great work -life balance, 
175,Fast paced heavy industrial environment,Refinery Services Maintenance Planning Supervisor,"Boron, CA","March 21, 2017","Has been a great company to advance in my career for over 18 years; it has been challenging, fun for the most part and taught me a lot about working for a world class mining company. The people I have worked with over the course of my career is the most enjoyable part of the job and the work as there are many directions you can go in Rio Tinto.",4 day work week with 4 weeks vacation and holidays-good benifits,Mine is in the middle of nowhere and its a commute to get there
176,environnement de travail productif et agréable,Stage au service de maintenance,"Havre-Saint-Pierre, QC","March 5, 2017",philosophie bonne pour une longue carrière. environnement de travail productif et agréable.,Acces a l'investissement par option,Instabilité liée au marché du fer
177,Environnement de travail,Coordonnatrice aux comptes de dépenses,"Montréal, QC","March 3, 2017","Malgré la surcharge de travail, l'environnement de travail était impeccable. Le superviseur était compréhensible et aidant. Lorsqu'il y avait beaucoup de pression, il avait toujours les bons mots pour nous encourager. Les collègues étaient toujours présent pour aider dans diverses tâches.", , 
178,Entreprise globale,HR Manager,Paris (75),"February 28, 2017",Rio Tinto est une entreprise vraiment internationale avec des équipes établies sur l'ensemble du globe.,opportunités à l'international,gestion des timezones
179,rien na dire,"Jonquière, Qc","Jonquière, QC","February 27, 2017",sauf le processus d'embauche est très très compliqué et long, , 
180,Excellent job,Light Vehicle Mechanic,Hunter Valley NSW,"February 24, 2017",Perfect job for anyoneSuch a amazing place to workGreat learning inviroment for anyone Highly recommend Limitless opportunities to work withAlways willing to helpGood pay,Limitless opportunities,None
181,Great team enviroment,Planner Scheduler,Paraburdoo WA,"February 21, 2017",Pay good not great.Supervisors and maintenence team are great to work with.Working in Paraburdoo is made better by the friendlyness of the residents and Rio Tino staff,Home every weekend,Fly in and out twice a week
182,un groupe financier orienté résultats,OPERATIONS & HSE MANAGER,"Conakry, Guinée","February 20, 2017",Une belle société avec les avantages et inconvénients associés aux grands groupes mondiaux.Une volonté de rigueur sociale que certains traduiront en volonté de ne pas être attaquable.Des projets passionnants mais une conjoncture défavorable., , 
183,Rio Tinto is one of the best company around the globe,Heavy mobile equipments Trainer or operator,Simandou Guinea canga est,"February 18, 2017",Rio Tinto make me who i am today good training on safe work procedure safe work place Rio tinto give training to literary people or to people with no experience,Yes,1 hour
184,Arrogant Management,Elecrical,Rio Tinto Cape Lambert,"February 14, 2017","Due to low parts stock and tools to do the day to day task its hard to get through a day without feeling you just want to walk out of the gate for good.Not much to learn from Rio Tinto Cape Lambert as no training is provided on new technology installed.Managements arrogance is out of this world,never interact with lower level employees and are self centered for their  own benefit as money is spend on managements wine and dine instead of parts and tools to keep the place running.Hardest part of this job is doing the job as management try to make the job as hard as possible through their arroganceMost enjoyable part is clocking out every day.Last Employee people servey from 3Q 2016 show 75% of Rio Tinto employees would not recommend the company to family and friends to work at. This must tell you something!!!",None,Arrogant Management
185,"Great culture, benefits and flexibilty",Process Improvement Advisor,Perth WA,"February 10, 2017","Safety culture is a focus at RTIO and they spend any amount of time needed to stop and focus on safety - not only on site, in the CBD offices as well. My Manager was very professional and approachable and, if the opportunity arose, I would definitely work with him again. The benefits are very good and include Incentive Bonus, time off to volunteer, flexibility arrangements and excellent remuneration. They even provided fresh fruit and Nespresso Coffee pods - an easy way to my heart!","Remuneration, Benefits and flexibility",Old school management resistant to change
186,Had a great time working with the people there over the years,Mailing and printing services,"Montréal, QC","February 8, 2017","It is a great place to work, but like many large corporations, you are just a number, and sometimes your number comes up. I would go back in a heart beat if asked.", , 
187,Highly professional organisation,General Manager Market Development,Brisbane QLD,"February 7, 2017","Structured, strategic company which attracts a dedicated and intellectual workforce.  Needs to improve its flexibility and diversity but shows intent to do so.", , 
188,Used to a great employer,Scheduler,Western Au,"February 6, 2017","a new policy to learn and adhere to each week, continuous staffing cuts even though the business make great profits.will encourage upskilling and training however, do not provide many opportunities.Management are completely out of tune with the new world.Great people to work with!",good work life balance,"Extra Hours, corporate policy, management"
189,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
190,Good Job,Specialist - Plant Shutdown Assurance,Perth Airport WA,"February 5, 2017",I am able to travel to alot of sites and meet great people and assist them in there roles.I have worked for Rio since 2006.Rio has helped me develope as a leader into this role that lets me use my Shutdown knowledge to assist many sites., , 
191,A productive and fun place to work,Business Analyst,"Johannesburg North, Gauteng","February 3, 2017","Excellent company to work for, I gained well-rounded experience in my field. The training provided is of a high standard. Work-life balance is respected.",Development opportunities,Sometimes long hours
192,A great place to work,Principal Advisor -Contract to Cash (CTC),"Montréal, QC","January 25, 2017","Great organisation to work for.  Great leadership, a leader in cutting edge industrial technologies.  Wonderful minds and a culture of work life balance.Safety is number one priority", , 
193,Great team and work/life balance,Training Coordinator,Clermont QLD,"January 19, 2017",Although it is no longer operational Blair Athol had very effective systems and processes in place.  I learned a lot through the Rio Tinto training in regards to Lean Principles - streamlining processes cutting out the fat and managing day to day activities to reduce wasted time.  My colleagues were very supportive and I was given  opportunities to work on several different projects.  The hardest part of my job was juggling inquiries from several areas but this was also the most enjoyable part as it allowed me to forge strong working relationships with all areas of the business.,great work opportunities,high turnover
194,Great Place,Administrative Assistant,"South Jordan, UT","January 18, 2017","Great place to work. Not very stable, always threats of layoffs hanging over your head. The pay and benefits are great. Worked with great people at Rio Tinto.", , 
195,Safe enjoyable workplace,Haul Truck Operator / Train Operator,Brockman 2,"January 16, 2017",Safety pre start meetings allocated work stations  always learning from others respect management opinions worked well within team enviroment or individually,saving money,being away from family
196,Great company,Contractor Management,Western Australia,"January 16, 2017","Learnt a lot and was supported. Great family lifestyle, two boys grew up in a mining town, and would do it all again. gained valuable Supervisory skills and completed my Cert IV in Frontline Management", , 
197,The The culture of Rio Tinto is great and averyone I worked with was amazing.,Community Relations Superintendent,"Guinea, Conakry","January 11, 2017",Typical day at work: When you meet your objectiveWhat you learned: Safety and ManagementYour co-workers: committed and hard workingThe hardest part of the job: Community grievancesThe most enjoyable part of the job: safety pause,Exellent safety measures,Too many procedures
198,Very informative,Work Placement,Paraburdoo WA,"January 10, 2017",Working with a mining company is always going to be exciting as the equipment is sooo up-scaled. There are many benefits of working in the industry and it opens many doors for further employment., , 
199,Aluminerie aluminium,Opérateur de machinerie lourde,"Shawinigan, QC","January 9, 2017",Opéré machinerie avec 63.milies volte avec pepine et pelle mécanique, , 
200,The Pilbara is a great place to live with an awesome outdoor lifestyle..,Electrical Maintainer,Cape Lambert WA,"January 6, 2017",I have found my time at the Shutdown Crew very challenging with respect to the work ethic of some employees and the acceptance of the bullying and harrassment culture within some team members. Overall it has been a good experience to learn what I have picked up whilst being here for almost three years. For the past twelve months or so I have found it slightly unrewarding and repetitive. Its not often I get the chance to do work with my tools and have a hands on approach to work we undertake. Alot of the work we do now is mainly to apply isolation permits and basic inspections to the plant and machinery.,Weekends off with the wife and kids.,Not enough time on the tools doing my trade.
201,great place,Fitter/Rail Car & Locomotive Recovery,Karratha WA,"January 5, 2017",Great place management spot on top place to work for very hot I like the heat and working as a team 8 and 6 roster was good gave you heaps of family  time etc, , 
202,Always looking over ones shoulder to see if you may be the target,Serviceman,Pilbara Mining Centre WA,"January 5, 2017","My experriance is, If you want to succeed working for Rio you must be a yes man, and try be part of the purple circle. Most will not understand what I've written, but all miners will.",Very few,All depends on the quality of your managers
203,Very Bad employer,SAP Senior Specialist Integration,Canada,"January 4, 2017","Rio Tinto only cares about money, lots of people die every year in that place and they care about their devoted employees! The hours are very bad more than 60 per week without compensation!",world wide company,Only thinks about making money
204,Security,Mine Operator,Weipa QLD,"December 30, 2016",Heavy vehicle operator on a 4 on and 4 off roster. This includes 12 hour shifts. Repetitious work all year round in a relative safe workplace. Relatively easy job but working long hours. Enjoy the fishing on days off. Back and neck pain resulting from the nature of work.,Skilled in operating Heavy machinery,Long hours
205,Discrimination against non-Quebec born employees,Sourcing/Procurement Analyst,"Montréal, QC","December 30, 2016","Excellent company to work, however, in Quebec the meddle to low management is extremely racist and protective against non-Quebec born employees. Even highly qualified professionals born outside of Quebec will have very low chances to grow in the company and will have difficulties to be hired and maintained in their positions.",Highly competitive salaries,Prejudice against non Quebec born professionals
206,Good local place to work,Maintenance Fitter,Gladstone QLD,"December 19, 2016","Good local place to work with a good family roster , monthly pay is hard and would be better with the option of regular overtime",Great family roster,Monthly pay
207,Demoralised & Miserable overpaid workforce,Systems Technician,Karratha WA,"December 19, 2016","uncompromising heavy handed management style,they insist its all in the name of the Safety , but really just BS .lots of examples in the FIFO world of not being flexible enough to allow it to be a nice place to work.",Pay,"Long Hours, Bullying and Harrassing common, ugly place to work, poor facilities"
208,Bad work environment. Salary trained to hate hourly workers.,Instrumentation Electrician,"Boron, CA","December 18, 2016","Salary are trained to be unfriendly with the hourly workers. The company is willing to spend millions of dollars just to prove that they don't need the hourly workers. They locked out 600 hourly workers for 4 months. They locked the workers out at the end of the month so that they would have no medical insurance because it only last to the last day of the month. They constantly fire hourly employees and when they think they might lose the arbitration, they hire them back with no back pay. They write up hourly workers for using sick leave, and threaten to fire even if the employee has an excellent attendance record. These are not lies. This is true information. I watched it with my own eyes.It used to be a great place to work until corporate got involved into the day-to-day operations and started micro-managing the Borax mine.",Good Pay,Most satanic work environment I have ever seen.
209,on call technicians,Mechanical Electrical Instrumentation Technician,"Magna, UT","December 16, 2016","get a call on radio go fix or find out what the problem was, fix it, then wait for the next call.expect the expected, co- workers pick on me, working with them, fixing the problems.","money, on the job training","Coal power Plant, internship."
210,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
211,Excellente compagnie à tous les égards,Chef de Projet,"Sorel-Tracy, QC","December 16, 2016",gestion de projets multiples dans une ambiance agréable de travail,salaire,aucun
212,my 6 years at Rio Tinto,"Train examiner, Yd driver, Acting yd supervisor",Cape Lambert WA,"December 10, 2016","Rio Tinto is a great place to work, would come to work, and process and prioritize our work load for the day. would assist other collegues new to the industry. Would shunt ore cars in/out drive trains and set up dumpers. Would also perform train maintenance. as a supervisor I managed the logistics of the yard, and crew. the hardest part of our regular days would be the heat, as I have done many courses on heat stress, I know how to manage heat stress.", , 
213,Excellente entreprise,Project Procurement Manager,"Montréal, QC","December 5, 2016",Des hommes et des femmes d'exceptionsOrganisation mondial bien structuré, , 
214,Sécuritaire,Mécanicien stationnaire,"Havre-Saint-Pierre, QC","December 4, 2016","Lieu de travail sécuritaire ,comme mécanicien soudeur,j'effectue plusieurs tâches très différentes les unes des autre.", , 
215,Educative with leaders,Senior Internal Control Officer,Other,"November 23, 2016",Rio Tinto was a great experience. It helped developed my knowledge and skills right after college. I spent 5 years working for that company. The management had a lot of tools in place to help with our development., , 
216,Excellent Job,Mobile Maintenance Superintendent,"Yellowknife, NT","November 22, 2016",Is an excellent company but the economy is putting stress on it. I have enjoyed my time there but unfortunately need to move on due to market conditions.,good benefits,The market dictates the stability
217,Great Place to work,Mechanical Engineer,Perth WA,"November 22, 2016",Great Place to work. However the career advancement is slow. people tend to vie for the same projects. A lot of improvement opportunities, , 
218,Finance group and production plants environment,Senior Financial Analyst,"Salt Lake City, UT","November 20, 2016","This used to be a great company to work for but the last couple years the management has gotten worse and worse. Nearly every person I worked with had close to their 300 hours of accrued vacation because they never had the time to take any vacation. The only good thing about the company now is the pay, but the way front line workers and non management workers are treated is awful at the Kennecott/ Utah location. I worked there over six years and i went through 7 different layoffs. No one feels like their job is secure and if you are American you can almost guarantee you won't ever make it to any management or leader position. And they promote incompetent people to management positions that don't care how over worked everyone else is and don't know how much time everyone is putting in. The worst part is Kennecott produces the best most accurate production and cost forecast across Rio Tinto but is constantly being told they have to make up for all the other groups failure to meet production and cost goals.",High pay,Incompetent managment
219,excellent place for job,Procurement Assistant,Northern Mariana Islands,"November 14, 2016",Excellent place for job and carer growth .There are followed world class safety masers for all employee and work force.They are maintained similarity with employee and workers., , 
220,Good work/life balance due to 8/6 working roster.,"Heavy Duty Diesel Mechanic, MEM Workshop",Brockman WA,"November 14, 2016",Great place of work with a good work/life balance available. Opportunities to up your skills were always available. A great bunch of people to work safely and productively alongside.,Work/life balance,Repetitiveness of tasks.
221,Large global corporation,Administrative Assistant,"Montréal, QC","November 10, 2016",Rio Tinto is a large global company.  Very interesting interaction globally.  Executives are easily approachable and the respect is given to all staff no matter what level.Work/life/balance is very important however very difficult to apply., , 
222,Great company to work for,Process Technician,Gladstone QLD,"November 5, 2016","Rio tinto  was the best job I had, great work life balance, exceptional benefits and great wage, my issue was with the site I worked at, but as a company I can't fault them",everything,yarwun site
223,"Grato ambiente  de trabajo,  excelentes beneficios,  posibilidad de promociòn,  excelente  equilibrio de vida  personal y laboral.",Asesor en Recursos Humanos,"Miraflores, Lima","October 29, 2016","Cada  dìa  es  un  aprendizaje  constante con situaciones  nuevas y  retos interesantes.  Una  empresa  que me  diò la  oportunidad de crecer personal y profesionalmente  tanto en el àrea de Administraciòn como en  Recursos Humanos  y  Gestiòn de Personas,  con una  excelente  cultura organizacional. La  seguridad  es  un  eje  primordial  para  todos los  colaboradores, el  trabajador  es  lo màs importante  para la  empresa.  Cultura de puertas  abiertas  para  la  comunicaciòn  con los  lìderes,  directorio y gerencia general.   Los  equipos  de cada àrea trabajan con  responsabilidad, respeto,  integridad y trabajo en equipo.Dado que el proyecto  està situado  en la  provincia de Chota,  Distrito de Querocoto en  Cajamarca  es un trayecto de difìcil acceso.  Es  difìcil enfrentar  los incidentes  que  pudieran  haber  ocurrido con nuestros  compañeros. Hay  posibilidad de promociòn sin  embargo la  estabilidad laboral  no  es  del todo segura.  Enfrentamos  varias  reorganizaciones  durante los ùltimos  8 años.Lo que màs  me  gustò  es  la  importancia de las pesonas para la empresa,  el apoyo  constante al trabajador  en  situaciones de  diferente  ìndole  como  el apoyo al  crecimiento profesional,  el apoyo  en  situaciones de riesgo  a la salud del  colaborador  o  un familiar directo, la  evaluaciòn de la  seguridad en forma  diaria y constante y el empoderamiento al colaborador  de parar  una  actividad en  caso de  riesgo.","Seguro mèdico EPS cubierto al 100%, vales de alimentaciòn, opciòn de compra de acciones, clases de inglès",Precio del cobre a nivel mundial juega en contra de la empresa.
224,great work culture,Open Crane Operator/ Heavy Haulage Driver,Yandicoogina WA,"October 29, 2016","despite the fifo and missing out on things, the work crew where i am are fantastic.12 days are easy to get used too, feeling part of a team makes being away from home a lot easier.", , 
225,Excelente Empresa para trabalhar,Gerente Geral,"Rio de Janeiro, RJ","October 18, 2016","Empresa com atuação global com cultura muito forte e muito respeito aos funcionários, clientes e ""stakeholders"".",Melhor empresa que já trabalhei,Decisões às vezes demoradas
226,Easy to work with,Team Lead in the Copperfield Truck Shop,"Bingham Canyon, UT","October 10, 2016",I love working for Rio Tinto but I need to continue with my career path and goals of achieving the heist management position I can. Most employees are awesome to work with and easy to get along.,4 day roatation work schedule,Low opertunity to advance
227,Ok place to work. Very political though.,Maintenance Support,"Salt Lake City, UT","September 28, 2016",I worked for Rio  9 years and when American management was in place seem to be a lot better but now the foreign management is in there they don't think very highly of Americans. They also get knee jerk reactions when metal prices start to fall a little bit and threatened layoffs and cuts. The work was good real hot and dirty in the plant I worked at but they provided uniforms and Boots which made it nice. The constant threat of layoffs and cutbacks made this place not worth working out anymore so I was basically forced out.,Good pay and bennies,"Constant threat of layoffs, not very honest, foreign management disslikes ameicans"
228,Its a goop place to work,Survey facilitator,"Phalaborwa, Limpopo","September 24, 2016",I had fun learning and working there.the staff there is very professional .the supervisor waa very patient and was willing to show me the ropes on things i didn't understand at first,Free lunch,None
229,safe company,"2IC, Step Up Supervisor, Trainer Assessor, Driller",Brockman 2,"September 23, 2016",a safe and secure company to work for .Family orientated and employee conservation based.Sometimes a bit too much into person life., , 
230,Both companies great to work for,SAP Master Data Specialist,Utah and Mongolia,"September 23, 2016",Both companies encouraged and supported the growth of their employees. Cutting edge technology was used.  They viewed the employees as their number one asset., , 
231,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
232,Awesome place to be!,Leaing Support Officer,Nhulunbuy NT,"September 21, 2016",I am thoroughly enjoying my work here. My boss is very supportive and I have gained much experience in legal work. The best employer I have worked for so far., , 
233,Strong and sturdy company,Rail Construction/Maintenance Worker,Karratha WA,"September 21, 2016",Enjoy the high amount of work that was provided and the involvement of workers high up in the work heirachy getting involv, , 
234,Good place to work,Superintendent Maintenance,Gladstone QLD,"September 20, 2016",Sometimes the workplace culture is misaligned with the corporate rhetoric. The company is well managed at corporate level but individual assets are at times neglected,Good benefits and care when in poor health,Restructuring due to commodity price decline
235,Rio Tinto was a great company to work for,Administration Officer,Wickham WA,"September 18, 2016","Administration work with Rio was very busy looking after 3 superintendents and 180 employees.  I learnt that I can work well in a busy environment, meet deadlines by prioritising and being diligent.I loved working in a great team environment.  The hardest part of the work was the ad hoc random work that needed to be done along with the core tasks; this could be very character building by challenging you to make choices on task priority.The most enjoyable part of any job is getting the work done well first time on time and go home at the end of the day knowing that you have done well.",Working for a great company,Training in some skills was a bit lacknig
236,Terrible employer,Contract Administrator,"Salt Lake City, UT","September 18, 2016","Its a poorly managed company, loses tons of money and treats its employees badly. I personally left on stress leave as did others.  They import management from England and Australia which are places that allow management and conpanies to treat employees in a bad way.  Do not recommend this employer.",salaries are above average for some,employees treated badly
237,Proffesional Experience,"Station Hand, Safety Representative",Tom Price,"September 18, 2016",Large scale corporation which operates across a multitude of operations has been an eye opening experience. The intent of the company to keep their workers safe can not be questioned given the difficulty of the sheer size and numbers involved, , 
238,Rio Tinto is a terrible company to work for,Plant Operator,Pannawonica WA,"September 11, 2016","The mining industry is one of the most horrible industries to work in , the culture of alcohol and bullying and discrimination is out of control . I worked in this industry for almost 30 years and will never return no matter how much they pay .",great pay,it wrecks lives
239,My time with Rio Tinto was a positive experience,SAP Master Data Specialist,"Magna, UT","September 6, 2016",Rio Tinto is a great placc to work at. The company provides development opportunities for their employees. International assignment in Mongolia greenfield copper mine., , 
240,Good work ethics,Training Officer,Robe Valley,"September 5, 2016",Very safety focussedThe need to review assessment process Management team goodCo-workers self managed their teamsHardest part too many meetingsMost enjoyable part was training the On Job Trainers,Family friendly roster,2 hour bus trip to and from the airport
241,Large Corporate Company,Maintenance Supervisor,"Copperton, UT","August 24, 2016","Promoted fast as an hourly member, but once I made it to the salary ranks my progress was stinted by others due to their lack of ability to promote the right person for the job and not just who was next in line.  Management changed to frequently and the lack of direction was hard with all the constant changes. Overall a great company as far as pay and benefits, but I wanted more in ways of career advancement.", , 
242,Great place to work,Advisor External Relations,"Chhatarpur, Madhya Pradesh","August 15, 2016","A great company to work with which works on its guided principal of Accountability, Respect, Integrity and Teamwork. One of the world’s largest mining and metals companies, which believes in sustainable business depends on  ability to deliver long-term value to everyone. There has been great learning experiences with the Senior Leadership team driving the Bunder Project located in one of the backward areas of bundelkhand. The management gives independence while carrying out duties and at the same time guides on the mistakes that one can do.The co-workers are great and are like close family, we collaborate with each other to attain organisational objectives", , 
243,Business development,Director / Operations Manager,Mozambique / Fance,"August 12, 2016",Enjoying business development activities and improving the business.Participating to the development of the local communities.Finding new ways of partnering to grow the business., , 
244,Gym and fitness just what i wanted,Fly in Fly Out,Paraburdoo WA,"August 9, 2016","My first day I arrived I could NOT sleep because I didn't want to be late.I learnt certain ways how to clean and not to put bacteria or germs anywhere.fast management and get everything done before all the workers come home.My Co-Worker was really stricked and everything had to be perfect which was fine with me, I don't mind learning different ways. but getting to know her was great. whole new person off work.The hardest part of the job was to wake up 4am in the morning every single day without a break for 2 weeks straight until you have your week off.Enjoyable part about working with Rio Tinto was all about meeting new people and knowing I can do anything I put my mind to.","free breakfast, lunch, dinner and more",12 hr shifts and early starts.
245,Good place to work,"General Manager, Finance Coal",Brisbane QLD,"August 9, 2016","Challenging interesting work, in a tough market, the work days were long, however the work was rewarding.Business going through a considerable downsizing following a series of mine divestments and a Group wide restructure, which was triggered following the announcement of the retirement of the then incumbent CEO.", , 
246,Great place to work.,External Affairs & Communications,"Washington City, DC","August 9, 2016","Gained valuable experience working at a fortune 100 company and along side various government agencies, international organizations, and different trade organizations.", , 
247,Great background,Facilities Manager,Guildford,"August 3, 2016",This where I learnt how to be a Facilities Manager having moved over from the Research department.  In the first year I had to organise the first of the relocations I had to oversee,Lots of Benefits and Job Staisfaction,Being made Redundant
248,Productive but reserved in certain areas,Driller - operator,Brockman WA,"July 28, 2016",Work place safety is number 1 but advancement is low. Would be nice to have advancement opportunities and training readily available,Work benefits,Low pay
